Username,Display Name,Margin Voted Short,Margin Voted,Points
apurv5411,APURV,11-20R,Win by 11-20 runs OR 6-7 wickets,0
astrobot_7,PS_USER,21-30R,Win by 21-30 runs OR 4-5 wickets,0
billuda,BILLUDA,SO,Win by Super Over (Bonus 2 points),0
cdgamers14,cdgamers😎,31-40R,Win by 31-40 runs OR 2-3 wickets,0
crazybats_v,Casper,11-20R,Win by 11-20 runs OR 6-7 wickets,0
csharp21,CSharp,11-20R,Win by 11-20 runs OR 6-7 wickets,0
dag_21,daggr,21-30R,Win by 21-30 runs OR 4-5 wickets,0
emptycases,J,21-30R,Win by 21-30 runs OR 4-5 wickets,0
fezvaz,Vaz,31-40R,Win by 31-40 runs OR 2-3 wickets,0
gladiator30,Gladiator,11-20R,Win by 11-20 runs OR 6-7 wickets,0
gooffyluffyy,Luffy,31-40R,Win by 31-40 runs OR 2-3 wickets,0
hungry_wolf,HungrY WolF,21-30R,Win by 21-30 runs OR 4-5 wickets,0
insane_dwane,Insane_Dwane,21-30R,Win by 21-30 runs OR 4-5 wickets,0
jadelessbarukan,jadeless,1-10R,Win by 1-10 runs OR 8-10 wickets,3.0
khanatfarm,KHANatFARM,11-20R,Win by 11-20 runs OR 6-7 wickets,0
light_itachi_op,Lassi Sassy,31-40R,Win by 31-40 runs OR 2-3 wickets,0
maverick7749,Mav,21-30R,Win by 21-30 runs OR 4-5 wickets,0
max._.caulfield,Max,41+R,Win by 41+ runs OR 1 wicket,0
reflekt_11,Reflekt,11-20R,Win by 11-20 runs OR 6-7 wickets,0
rishavmaiti,rishavmaiti,21-30R,Win by 21-30 runs OR 4-5 wickets,0
roarycat,RoaryCat,11-20R,Win by 11-20 runs OR 6-7 wickets,0
roguehunter15,RogueHunter,11-20R,Win by 11-20 runs OR 6-7 wickets,0
slidemaster0547,Slide Master,31-40R,Win by 31-40 runs OR 2-3 wickets,0
sriprakash,Sri Prakash,21-30R,Win by 21-30 runs OR 4-5 wickets,0
static_25,Static,11-20R,Win by 11-20 runs OR 6-7 wickets,0
thefarzi,Farzi,11-20R,Win by 11-20 runs OR 6-7 wickets,0
thewebshooter,TheWebShooter,21-30R,Win by 21-30 runs OR 4-5 wickets,0
tushar07019,,11-20R,Win by 11-20 runs OR 6-7 wickets,0
vahgar,Allen The Alien,11-20R,Win by 11-20 runs OR 6-7 wickets,0
