Username,Display Name,Team Voted Short,Team Voted,Points
apurv5411,APURV,RCB,Royal Challengers Bengaluru,0
astrobot_7,PS_USER,KKR,Kolkata Knight Riders,0
billuda,BILLUDA,RCB,Royal Challengers Bengaluru,0
cdgamers14,cdgamers😎,KKR,Kolkata Knight Riders,0
crazybats_v,Casper,KKR,Kolkata Knight Riders,0
csharp21,CSharp,RCB,Royal Challengers Bengaluru,0
dag_21,daggr,KKR,Kolkata Knight Riders,0
darkwolf_newbie,Darkwolf,RCB,Royal Challengers Bengaluru,0
deadshot06.,,RCB,Royal Challengers Bengaluru,0
emptycases,J,KKR,Kolkata Knight Riders,0
fawaz4413,,RCB,Royal Challengers Bengaluru,0
fezvaz,Vaz,RCB,Royal Challengers Bengaluru,0
gladiator30,Gladiator,KKR,Kolkata Knight Riders,0
gooffyluffyy,Luffy,KKR,Kolkata Knight Riders,0
hungry_wolf,HungrY WolF,RCB,Royal Challengers Bengaluru,0
insane_dwane,Insane_Dwane,RCB,Royal Challengers Bengaluru,0
jadelessbarukan,jadeless,RCB,Royal Challengers Bengaluru,0
khanatfarm,KHANatFARM,KKR,Kolkata Knight Riders,0
maverick7749,Mav,RCB,Royal Challengers Bengaluru,0
max._.caulfield,Max,RCB,Royal Challengers Bengaluru,0
pkmkb6011,Sunny Paaji,RCB,Royal Challengers Bengaluru,0
reflekt_11,Reflekt,RCB,Royal Challengers Bengaluru,0
roarycat,RoaryCat,RCB,Royal Challengers Bengaluru,0
roguehunter15,RogueHunter,RCB,Royal Challengers Bengaluru,0
slidemaster0547,Jason Duval,RCB,Royal Challengers Bengaluru,0
static_25,Static,RCB,Royal Challengers Bengaluru,0
thefarzi,Farzi,RCB,Royal Challengers Bengaluru,0
thewebshooter,TheWebShooter,KKR,Kolkata Knight Riders,0
tushar07019,,RCB,Royal Challengers Bengaluru,0
vahgar,Beluga,RCB,Royal Challengers Bengaluru,0
