Username,Display Name,Match_1_Team_Short,Match_1_Points,Match_2_Team_Short,Match_2_Points,Match_3_Team_Short,Match_3_Points,Match_4_Team_Short,Match_4_Points,Match_5_Team_Short,Match_5_Points,Match_6_Team_Short,Match_6_Points,Match_1_Team,Match_2_Team,Match_3_Team,Match_4_Team,Match_5_Team,Match_6_Team,Total_Points
.selmonbhai,Tanjiro kamado,RR,0,SRH,0,---,0,---,0,---,0,---,0,Rajasthan Royals,Sunrisers Hyderabad,---,---,---,---,0
1nv1nc1b1e18,Him.,,,,,RCB,1,GT,1,---,0,---,0,,,Royal Challengers Bengaluru,Gujarat Titans,---,---,2
aakashmangla,Babu Bhaiya,RR,0,---,0,---,0,---,0,---,0,---,0,Rajasthan Royals,---,---,---,---,---,0
aayush1965070,Aayush196,KKR,1,---,0,---,0,---,0,---,0,---,0,Kolkata Knight Riders,---,---,---,---,---,1
amangoyal,Aman,KKR,1,---,0,---,0,---,0,---,0,---,0,Kolkata Knight Riders,---,---,---,---,---,1
ashmrth,Ashmrth,RR,0,LSG,1,RCB,1,---,0,---,0,RR,1,Rajasthan Royals,Lucknow Super Giants,Royal Challengers Bengaluru,---,---,Rajasthan Royals,3
asterayah,Zarathon,,,LSG,1,RCB,1,---,0,---,0,---,0,,Lucknow Super Giants,Royal Challengers Bengaluru,---,---,---,2
astrobot_7,PS_USER,RR,0,SRH,0,CSK,0,---,0,---,0,---,0,Rajasthan Royals,Sunrisers Hyderabad,Chennai Super Kings,---,---,---,0
bigshikki,BigShik,,,,,,,,,,,RR,1,,,,,,Rajasthan Royals,1
billuda,𒆜 𝐁𝐈𝐋𝐋𝐔 𝐃𝐀 𒆜,RR,0,LSG,1,CSK,0,MI,0,DC,1,CSK,0,Rajasthan Royals,Lucknow Super Giants,Chennai Super Kings,Mumbai Indians,Delhi Capitals,Chennai Super Kings,2
crazybats_v,Casper,KKR,1,---,0,RCB,1,MI,0,SRH,0,RR,1,Kolkata Knight Riders,---,Royal Challengers Bengaluru,Mumbai Indians,Sunrisers Hyderabad,Rajasthan Royals,3
croco_boya,Croco,,,LSG,1,CSK,0,---,0,SRH,0,CSK,0,,Lucknow Super Giants,Chennai Super Kings,---,Sunrisers Hyderabad,Chennai Super Kings,1
d3vilbring3r,d3vilbring3r,RR,0,---,0,---,0,---,0,---,0,---,0,Rajasthan Royals,---,---,---,---,---,0
dag_21,daggr,RR,0,SRH,0,---,0,---,0,SRH,0,CSK,0,Rajasthan Royals,Sunrisers Hyderabad,---,---,Sunrisers Hyderabad,Chennai Super Kings,0
darkwolf_newbie,Darkwolf,KKR,1,SRH,0,---,0,---,0,SRH,0,---,0,Kolkata Knight Riders,Sunrisers Hyderabad,---,---,Sunrisers Hyderabad,---,1
dudhwalaop69,DudhWalaOP,KKR,1,---,0,---,0,---,0,---,0,---,0,Kolkata Knight Riders,---,---,---,---,---,1
elprofesor6338,Èl Profesor™,,,,,,,MI,0,SRH,0,CSK,0,,,,Mumbai Indians,Sunrisers Hyderabad,Chennai Super Kings,0
emptycases,J,,,SRH,0,CSK,0,MI,0,---,0,---,0,,Sunrisers Hyderabad,Chennai Super Kings,Mumbai Indians,---,---,0
fawaz4413,,RR,0,SRH,0,---,0,GT,1,SRH,0,CSK,0,Rajasthan Royals,Sunrisers Hyderabad,---,Gujarat Titans,Sunrisers Hyderabad,Chennai Super Kings,1
fezvaz,Vaz,,,SRH,0,RCB,1,---,0,SRH,0,CSK,0,,Sunrisers Hyderabad,Royal Challengers Bengaluru,---,Sunrisers Hyderabad,Chennai Super Kings,1
gamerpradosh,Gamer Pradosh,,,,,,,,,,,CSK,0,,,,,,Chennai Super Kings,0
gladiator30,Gladiator,RR,0,SRH,0,RCB,1,MI,0,SRH,0,CSK,0,Rajasthan Royals,Sunrisers Hyderabad,Royal Challengers Bengaluru,Mumbai Indians,Sunrisers Hyderabad,Chennai Super Kings,1
gooffyluffyy,Luffy,,,SRH,0,CSK,0,GT,1,SRH,0,CSK,0,,Sunrisers Hyderabad,Chennai Super Kings,Gujarat Titans,Sunrisers Hyderabad,Chennai Super Kings,1
hungry_wolf,HungrY_WolF,KKR,1,SRH,0,CSK,0,MI,0,SRH,0,RR,1,Kolkata Knight Riders,Sunrisers Hyderabad,Chennai Super Kings,Mumbai Indians,Sunrisers Hyderabad,Rajasthan Royals,2
ind_mafia_sahil,IND_Mafia_Sahil,,,SRH,0,RCB,1,MI,0,DC,1,CSK,0,,Sunrisers Hyderabad,Royal Challengers Bengaluru,Mumbai Indians,Delhi Capitals,Chennai Super Kings,2
insane_dwane,Insane_Dwane,,,,,RCB,1,GT,1,SRH,0,---,0,,,Royal Challengers Bengaluru,Gujarat Titans,Sunrisers Hyderabad,---,2
itsdomtoretto,Dom,KKR,1,---,0,---,0,---,0,---,0,---,0,Kolkata Knight Riders,---,---,---,---,---,1
jadelessbarukan,jadeless,KKR,1,SRH,0,CSK,0,MI,0,DC,1,RR,1,Kolkata Knight Riders,Sunrisers Hyderabad,Chennai Super Kings,Mumbai Indians,Delhi Capitals,Rajasthan Royals,3
jayzus01,Jayan,KKR,1,---,0,CSK,0,---,0,---,0,---,0,Kolkata Knight Riders,---,Chennai Super Kings,---,---,---,1
jubilant_chipmunk_76062,,RR,0,---,0,---,0,---,0,---,0,---,0,Rajasthan Royals,---,---,---,---,---,0
khanatfarm,KHANatFARM,KKR,1,SRH,0,CSK,0,---,0,SRH,0,RR,1,Kolkata Knight Riders,Sunrisers Hyderabad,Chennai Super Kings,---,Sunrisers Hyderabad,Rajasthan Royals,2
light083969,Light,,,,,RCB,1,---,0,---,0,---,0,,,Royal Challengers Bengaluru,---,---,---,1
light_itachi_op,Monkey Uzumaki,,,SRH,0,RCB,1,MI,0,DC,1,CSK,0,,Sunrisers Hyderabad,Royal Challengers Bengaluru,Mumbai Indians,Delhi Capitals,Chennai Super Kings,2
maverick7749,Mav,,,LSG,1,RCB,1,GT,1,DC,1,RR,1,,Lucknow Super Giants,Royal Challengers Bengaluru,Gujarat Titans,Delhi Capitals,Rajasthan Royals,5
max._.caulfield,Max,KKR,1,SRH,0,CSK,0,GT,1,DC,1,RR,1,Kolkata Knight Riders,Sunrisers Hyderabad,Chennai Super Kings,Gujarat Titans,Delhi Capitals,Rajasthan Royals,4
mrj619,MrJ619,RR,0,---,0,---,0,---,0,---,0,---,0,Rajasthan Royals,---,---,---,---,---,0
nftprofessor,NFTProfessor,,,SRH,0,CSK,0,---,0,---,0,---,0,,Sunrisers Hyderabad,Chennai Super Kings,---,---,---,0
nullpixel96,Nullpixel96,,,SRH,0,RCB,1,GT,1,---,0,---,0,,Sunrisers Hyderabad,Royal Challengers Bengaluru,Gujarat Titans,---,---,2
pkmkb6011,Sunny Paaji,,,,,RCB,1,GT,1,---,0,---,0,,,Royal Challengers Bengaluru,Gujarat Titans,---,---,2
reflekt_11,Reflekt,RR,0,SRH,0,CSK,0,---,0,SRH,0,CSK,0,Rajasthan Royals,Sunrisers Hyderabad,Chennai Super Kings,---,Sunrisers Hyderabad,Chennai Super Kings,0
riq9634,Riq,,,,,CSK,0,---,0,---,0,---,0,,,Chennai Super Kings,---,---,---,0
rishavmaiti,rishavmaiti,,,,,RCB,1,MI,0,SRH,0,CSK,0,,,Royal Challengers Bengaluru,Mumbai Indians,Sunrisers Hyderabad,Chennai Super Kings,1
rithick_devaraj,rithick_devaraj,RR,0,---,0,---,0,---,0,---,0,---,0,Rajasthan Royals,---,---,---,---,---,0
roarycat,RoaryCat,RR,0,SRH,0,---,0,MI,0,SRH,0,RR,1,Rajasthan Royals,Sunrisers Hyderabad,---,Mumbai Indians,Sunrisers Hyderabad,Rajasthan Royals,1
roguehunter15,RogueHunter,KKR,1,SRH,0,CSK,0,MI,0,SRH,0,RR,1,Kolkata Knight Riders,Sunrisers Hyderabad,Chennai Super Kings,Mumbai Indians,Sunrisers Hyderabad,Rajasthan Royals,2
sauzz,Sauzz,,,SRH,0,---,0,---,0,---,0,---,0,,Sunrisers Hyderabad,---,---,---,---,0
shieldofachielles,shield of Achielles,,,,,CSK,0,GT,1,---,0,CSK,0,,,Chennai Super Kings,Gujarat Titans,---,Chennai Super Kings,1
singh84,Singh,KKR,1,---,0,---,0,---,0,---,0,---,0,Kolkata Knight Riders,---,---,---,---,---,1
slidemaster0547,Slide Master,,,LSG,1,RCB,1,MI,0,SRH,0,CSK,0,,Lucknow Super Giants,Royal Challengers Bengaluru,Mumbai Indians,Sunrisers Hyderabad,Chennai Super Kings,2
sriprakash,Sri Prakash,,,SRH,0,CSK,0,---,0,SRH,0,CSK,0,,Sunrisers Hyderabad,Chennai Super Kings,---,Sunrisers Hyderabad,Chennai Super Kings,0
static_25,Static,KKR,1,SRH,0,CSK,0,GT,1,DC,1,CSK,0,Kolkata Knight Riders,Sunrisers Hyderabad,Chennai Super Kings,Gujarat Titans,Delhi Capitals,Chennai Super Kings,3
the_mizer,DrVimp,KKR,1,SRH,0,CSK,0,MI,0,SRH,0,CSK,0,Kolkata Knight Riders,Sunrisers Hyderabad,Chennai Super Kings,Mumbai Indians,Sunrisers Hyderabad,Chennai Super Kings,1
thefarzi,Farzi,KKR,1,SRH,0,RCB,1,GT,1,SRH,0,CSK,0,Kolkata Knight Riders,Sunrisers Hyderabad,Royal Challengers Bengaluru,Gujarat Titans,Sunrisers Hyderabad,Chennai Super Kings,3
thewebshooter,TheWebShooter,KKR,1,SRH,0,CSK,0,GT,1,SRH,0,RR,1,Kolkata Knight Riders,Sunrisers Hyderabad,Chennai Super Kings,Gujarat Titans,Sunrisers Hyderabad,Rajasthan Royals,3
tushar07019,,KKR,1,SRH,0,RCB,1,MI,0,SRH,0,CSK,0,Kolkata Knight Riders,Sunrisers Hyderabad,Royal Challengers Bengaluru,Mumbai Indians,Sunrisers Hyderabad,Chennai Super Kings,2
vader8726,vader,KKR,1,LSG,1,RCB,1,---,0,---,0,---,0,Kolkata Knight Riders,Lucknow Super Giants,Royal Challengers Bengaluru,---,---,---,3
vahgar,Allen The Alien,RR,0,SRH,0,CSK,0,MI,0,SRH,0,RR,1,Rajasthan Royals,Sunrisers Hyderabad,Chennai Super Kings,Mumbai Indians,Sunrisers Hyderabad,Rajasthan Royals,1
